,000300.SH,000905.SH,CBA00651.CS,CBA04031.CS,H11062.CSI,H11063.CSI,H11064.CSI,H11065.CSI
2005-07-12,851.816,739.534,112.1703,,113.78,111.13,134.24,144.59
2005-07-13,846.231,732.443,112.4351,,112.72,110.62,130.9,147.01
2005-07-14,849.59,732.544,112.6649,,113.13,111.27,133.0,145.41
2005-07-15,841.001,714.488,112.6786,,113.32,110.89,133.53,143.9
2005-07-18,832.995,696.848,112.515,,112.65,110.95,134.65,145.53
2005-07-19,835.608,703.066,112.1772,,112.54,110.81,135.65,141.91
2005-07-20,842.641,707.293,112.4339,,110.18,110.98,134.96,140.78
2005-07-21,843.987,704.788,112.2907,,110.72,111.07,135.47,140.24
2005-07-22,859.693,721.445,112.4339,,108.42,111.59,137.86,139.73
2005-07-25,856.86,718.867,112.871,,108.24,114.2,140.43,142.85
2005-07-26,876.48,735.861,113.168,,108.7,114.61,141.91,141.92
2005-07-27,894.012,750.015,113.1419,,108.88,113.79,139.92,141.74
2005-07-28,890.885,747.23,113.4784,,108.49,115.42,142.21,142.36
2005-07-29,888.164,744.825,113.5576,,108.36,115.2,139.22,142.97
2005-08-01,891.607,750.488,113.6276,,106.84,114.77,138.36,140.14
2005-08-02,903.598,763.29,113.685,,107.97,115.57,135.22,140.95
2005-08-03,909.57,769.752,113.8092,,107.86,115.38,136.74,143.36
2005-08-04,904.15,765.262,113.4977,,106.86,114.85,134.0,140.61
2005-08-05,923.803,787.819,113.5631,,106.98,114.19,135.79,142.06
2005-08-08,927.471,800.117,113.3404,,106.85,112.59,135.24,144.47
2005-08-09,933.089,814.186,112.8465,,106.14,114.02,133.34,145.99
2005-08-10,940.37,823.839,113.0223,,105.24,111.58,131.69,145.04
2005-08-11,953.992,832.841,112.363,,105.51,113.48,133.68,147.8
2005-08-12,938.316,816.386,112.4168,,105.39,113.26,131.33,147.85
2005-08-15,954.502,839.667,112.65,,104.26,115.27,130.82,148.04
2005-08-16,945.058,839.264,112.7239,,102.99,115.89,132.16,147.73
2005-08-17,953.012,854.526,112.6554,,102.3,115.93,131.21,148.68
2005-08-18,920.671,820.664,112.7491,,103.26,114.13,131.59,146.53
2005-08-19,923.038,820.869,112.7821,,103.1,113.22,130.22,147.22
2005-08-22,931.673,831.496,113.0796,,104.4,114.44,131.49,148.81
2005-08-23,923.414,816.914,113.4201,,104.72,116.09,132.14,149.61
2005-08-24,930.651,826.716,113.4552,,104.33,115.39,133.23,149.82
2005-08-25,930.118,836.418,112.7509,,104.38,114.94,133.28,150.26
2005-08-26,928.258,840.431,113.2345,,102.93,114.76,132.11,149.73
2005-08-29,917.371,832.248,113.0423,,104.35,116.09,133.59,151.57
2005-08-30,914.88,827.55,112.9786,,104.25,115.61,133.45,151.98
2005-08-31,927.916,845.142,112.7462,,105.51,116.12,136.64,154.39
2005-09-01,944.559,865.405,112.59,,104.91,115.16,137.03,153.84
2005-09-02,947.871,872.485,112.5287,,106.24,115.65,137.73,156.41
2005-09-05,952.717,884.29,112.6713,,106.0,116.52,141.06,157.21
2005-09-06,936.61,862.491,113.023,,106.16,116.22,141.17,156.13
2005-09-07,952.758,888.125,113.3113,,105.87,115.34,140.55,156.2
2005-09-08,955.282,889.69,113.1485,,105.81,115.98,142.7,157.21
2005-09-09,949.065,879.503,113.3858,,105.64,114.82,142.26,158.13
2005-09-12,949.506,883.561,113.5108,,104.15,115.09,139.07,157.24
2005-09-13,963.774,904.311,113.6718,,104.14,115.81,136.77,154.9
2005-09-14,970.193,914.983,113.6113,,104.15,115.23,137.85,156.28
2005-09-15,969.598,918.505,113.6575,,103.96,114.76,139.02,158.07
2005-09-16,967.495,917.638,114.0665,,104.0,113.52,137.43,157.04
2005-09-19,971.136,930.489,114.017,,104.37,112.96,136.29,156.75
2005-09-20,961.919,924.16,114.0038,,104.12,115.11,138.45,158.92
2005-09-21,944.408,909.787,114.1432,,104.48,115.29,139.8,160.73
2005-09-22,923.274,880.013,114.2368,,104.35,117.81,142.33,162.02
2005-09-23,916.154,868.549,114.1906,,104.31,118.07,141.38,161.46
2005-09-26,918.485,874.84,114.3742,,103.85,117.72,141.66,159.23
2005-09-27,904.214,856.958,113.9727,,103.46,118.44,143.23,161.21
2005-09-28,903.719,852.359,114.284,,103.71,118.32,145.07,160.6
2005-09-29,915.975,871.291,114.6567,,104.04,118.36,147.3,162.64
2005-09-30,917.392,869.509,114.7678,,103.57,118.49,145.75,162.9
2005-10-10,907.321,858.748,114.8777,,104.21,122.44,150.75,161.69
2005-10-11,919.72,878.623,115.7955,,105.0,121.92,150.54,161.34
2005-10-12,923.485,887.711,115.6247,,105.24,123.37,151.32,161.96
2005-10-13,916.499,883.45,115.9837,,107.12,122.5,151.68,162.62
2005-10-14,904.828,876.053,116.34,,107.07,121.55,150.18,161.35
2005-10-17,897.623,878.757,116.4563,,107.29,122.96,152.55,162.35
2005-10-18,902.366,893.699,116.7539,,106.71,124.79,151.96,161.19
2005-10-19,898.744,886.314,116.4187,,106.36,123.82,148.52,157.71
2005-10-20,899.915,886.551,117.2157,,106.06,124.45,149.19,157.96
2005-10-21,904.414,895.027,116.8375,,104.17,121.61,145.69,153.04
2005-10-24,906.652,897.757,117.3996,,103.87,123.43,146.29,155.03
2005-10-25,894.272,877.577,115.6407,,103.47,121.93,146.8,156.59
2005-10-26,875.82,854.028,117.0373,,103.7,122.98,146.35,158.6
2005-10-27,875.849,847.593,117.1898,,103.87,122.24,144.67,158.52
2005-10-28,867.729,825.063,116.8023,,103.7,121.76,146.49,159.53
2005-10-31,876.282,828.659,115.9362,,103.62,120.72,145.42,157.58
2005-11-01,872.865,823.328,115.8715,,104.66,121.45,146.78,155.55
2005-11-02,882.478,840.316,116.0683,,104.31,121.86,146.82,156.49
2005-11-03,874.575,828.906,115.6392,,104.81,121.65,146.37,156.83
2005-11-04,878.361,835.122,115.5673,,105.02,121.61,145.41,158.32
2005-11-07,877.278,842.002,115.6726,,103.83,121.44,142.12,157.28
2005-11-08,881.524,848.965,115.2144,,103.89,121.78,141.26,157.07
2005-11-09,879.252,845.11,114.7275,,103.09,121.7,140.61,157.32
2005-11-10,862.968,821.269,114.6412,,103.61,121.4,140.91,154.56
2005-11-11,864.79,823.956,114.214,,103.6,122.97,141.68,153.14
2005-11-14,862.149,827.569,114.6037,,103.55,123.94,141.94,155.25
2005-11-15,856.635,820.491,114.8509,,103.3,124.1,141.1,152.89
2005-11-16,863.119,826.692,113.4466,,103.29,123.79,141.25,151.37
2005-11-17,862.658,825.797,113.3502,,102.65,122.98,141.57,151.98
2005-11-18,882.241,843.738,113.0741,,101.45,122.77,139.5,150.54
2005-11-21,883.871,846.958,113.5315,,101.25,122.87,141.12,151.77
2005-11-22,869.617,831.771,113.0155,,101.5,122.58,143.63,152.21
2005-11-23,876.229,838.117,113.5788,,101.06,118.38,142.97,152.51
2005-11-24,881.493,841.699,113.73,,100.17,119.57,144.37,153.06
2005-11-25,884.105,841.13,113.5603,,99.84,121.67,144.54,150.68
2005-11-28,880.167,838.342,113.7923,,97.25,120.16,141.52,148.3
2005-11-29,871.31,827.005,114.0919,,97.38,120.7,140.79,146.83
2005-11-30,873.825,829.5,113.9796,,98.27,123.49,140.67,146.21
2005-12-01,873.067,828.193,114.0439,,98.01,123.83,140.4,147.07
2005-12-02,869.936,817.864,114.5053,,98.52,127.38,141.53,149.79
2005-12-05,859.61,796.926,114.6228,,98.86,127.62,143.92,152.05
2005-12-06,866.075,798.878,114.5318,,99.81,127.96,143.52,152.51
2005-12-07,873.838,806.778,115.0234,,99.12,128.73,145.88,154.24
2005-12-08,874.056,805.561,115.0227,,98.91,130.3,144.92,152.92
2005-12-09,887.358,819.2,115.2697,,99.92,131.11,146.83,158.91
2005-12-12,888.518,824.518,115.5376,,101.53,133.43,150.7,158.85
2005-12-13,889.101,824.861,115.4866,,101.69,131.45,146.41,157.67
2005-12-14,898.153,832.513,115.7642,,102.36,133.78,145.77,156.41
2005-12-15,896.434,827.539,115.9013,,102.41,131.57,145.88,153.82
2005-12-16,902.561,834.537,116.2152,,103.15,131.58,146.33,153.62
2005-12-19,902.91,834.712,116.2613,,103.81,132.61,147.64,150.32
2005-12-20,907.318,836.119,115.7385,,104.3,132.27,147.34,151.82
2005-12-21,903.144,830.766,115.9562,,103.63,132.14,147.99,150.62
2005-12-22,908.754,835.503,115.8443,,105.06,133.75,148.7,150.44
2005-12-23,915.89,845.589,116.5041,,104.87,135.25,149.0,150.24
2005-12-26,922.378,853.169,116.5729,,105.14,138.66,150.71,151.04
2005-12-27,919.36,854.526,116.6331,,104.62,139.13,150.76,150.62
2005-12-28,920.919,857.206,116.7268,,104.15,139.27,152.55,151.17
2005-12-29,932.031,866.747,116.7159,,104.23,137.08,152.36,153.66
2005-12-30,923.451,860.131,116.7456,,103.39,138.03,152.16,152.65
2006-01-04,941.428,871.73,116.3402,,106.29,140.28,154.84,156.5
2006-01-05,959.134,882.732,116.9132,,106.29,141.12,154.38,155.42
2006-01-06,970.032,891.94,117.3546,,106.4,142.02,155.96,155.54
2006-01-09,975.253,905.068,117.5066,,105.46,142.94,155.64,156.05
2006-01-10,978.154,911.191,117.5995,,105.26,144.57,156.51,154.19
2006-01-11,973.477,906.496,117.7035,,104.59,144.87,155.93,155.53
2006-01-12,983.716,927.42,117.5234,,104.01,144.58,158.48,157.79
2006-01-13,978.809,932.499,117.9606,,103.44,144.47,160.93,156.83
2006-01-16,961.439,920.332,117.7482,,104.16,146.91,164.31,160.34
2006-01-17,964.29,919.279,118.0398,,103.48,146.24,163.13,162.4
2006-01-18,983.622,939.136,118.2055,,102.4,142.87,161.76,162.89
2006-01-19,991.222,949.913,118.0731,,103.03,145.17,165.42,163.47
2006-01-20,993.34,952.769,118.2411,,103.15,144.12,167.72,166.95
2006-01-23,996.162,961.069,117.5553,,103.91,144.75,168.63,170.25
2006-01-24,999.093,960.353,118.1296,,103.35,145.27,173.37,171.22
2006-01-25,1009.597,957.787,118.4196,,104.3,146.5,176.5,167.68
2006-02-06,1033.234,980.91,117.6357,,107.34,157.15,188.9,178.98
2006-02-07,1029.937,981.574,117.9004,,107.2,161.84,197.22,176.27
2006-02-08,1033.072,982.943,117.8585,,103.58,157.05,187.82,168.94
2006-02-09,1019.599,969.577,117.9027,,104.29,159.37,197.93,172.8
2006-02-10,1032.337,980.801,118.0413,,104.8,158.24,192.0,171.27
2006-02-13,1031.614,977.396,118.0224,,104.65,153.94,188.02,169.88
2006-02-14,1038.531,986.056,118.4569,,104.88,154.93,179.39,171.02
2006-02-15,1041.66,986.161,117.1141,,104.91,155.54,184.65,169.64
2006-02-16,1020.121,958.59,118.2864,,104.84,150.43,178.73,166.31
2006-02-17,1020.368,949.993,117.743,,106.08,150.02,173.25,168.23
2006-02-20,1021.639,943.765,117.9989,,105.92,150.48,177.72,170.53
2006-02-21,1038.816,960.017,117.6826,,105.4,152.58,179.23,171.03
2006-02-22,1037.885,959.947,117.5894,,105.48,152.34,178.05,168.54
2006-02-23,1041.373,958.722,117.4248,,104.3,150.96,173.61,164.97
2006-02-24,1049.444,967.163,117.834,,104.89,152.04,177.28,169.33
2006-02-27,1047.845,963.379,117.4276,,103.96,148.66,174.63,168.41
2006-02-28,1053.01,964.726,117.9568,,104.15,147.11,176.09,168.06
2006-03-01,1056.619,972.067,117.7626,,104.26,147.08,175.4,167.6
2006-03-02,1038.666,953.369,118.0756,,104.3,150.34,179.9,171.69
2006-03-03,1041.677,954.457,118.117,,104.93,152.58,181.95,174.86
2006-03-06,1038.873,952.351,117.8211,,104.03,152.73,180.47,173.24
2006-03-07,1014.973,928.576,118.138,,104.23,150.7,180.89,171.69
2006-03-08,1009.271,924.83,118.3858,,103.8,150.08,174.98,169.72
2006-03-09,1004.344,920.13,118.3947,,104.27,150.42,175.28,169.73
2006-03-10,1008.897,921.683,118.3655,,103.61,148.89,169.39,168.93
2006-03-13,1019.864,928.518,118.0794,,103.75,150.64,169.27,170.37
2006-03-14,1018.272,931.721,118.0539,,103.15,151.25,169.5,170.75
2006-03-15,1028.958,942.689,117.9565,,103.3,151.48,168.91,172.2
2006-03-16,1027.616,945.523,117.9905,,102.88,150.98,166.18,171.42
2006-03-17,1024.015,943.725,117.7628,,101.93,153.52,166.73,173.14
2006-03-20,1037.659,956.138,117.6985,,102.64,158.31,166.13,175.66
2006-03-21,1040.757,959.927,118.0706,,102.01,158.3,165.59,171.13
2006-03-22,1047.666,972.137,117.1688,,102.37,156.96,167.08,171.98
2006-03-23,1048.537,980.841,117.1122,,102.18,158.26,166.38,173.48
2006-03-24,1042.601,974.269,117.5692,,102.39,159.26,168.27,174.64
2006-03-27,1050.707,984.152,117.5091,,102.87,159.79,170.23,174.93
2006-03-28,1055.982,994.52,117.87,,102.51,160.19,169.98,174.17
2006-03-29,1065.294,997.704,117.9347,,102.69,158.86,168.85,175.68
2006-03-30,1055.634,986.957,117.6688,,102.64,160.73,167.96,175.89
2006-03-31,1061.088,1000.251,117.7599,,102.93,163.97,167.97,175.8
2006-04-03,1079.322,1025.788,117.897,,101.74,163.17,168.65,176.43
2006-04-04,1089.371,1038.109,117.928,,101.11,167.9,171.39,177.29
2006-04-05,1099.97,1048.666,117.7876,,100.97,168.55,166.72,175.01
2006-04-06,1103.237,1053.693,117.7972,,101.16,172.44,169.01,177.47
2006-04-07,1103.154,1068.11,117.773,,100.34,174.51,169.09,176.93
2006-04-10,1117.91,1090.72,117.6455,,99.57,177.55,169.75,178.81
2006-04-11,1123.308,1094.409,117.3865,,99.38,180.97,174.01,183.83
