,factor_0,factor_1,factor_2,factor_3,factor_4
2017-03-22,0.9444828606374638,0.9554909249000938,0.9398179280263478,0.9623092362215309,0.9504446530479246
2017-03-23,0.9438651345075086,0.9553625679224778,0.9399997660082438,0.9625555044460419,0.9497927995724273
2017-03-24,0.944276225280401,0.9550526205614569,0.9396206428421005,0.9649403726241239,0.9515698823707102
2017-03-27,0.9444438239259102,0.9551095536400094,0.9399049545776234,0.9658723959178703,0.9522428100987458
2017-03-28,0.9433133981040983,0.9545974497593411,0.9397202743622568,0.9645257770090112,0.9511844845175187
2017-03-29,0.942173240306777,0.9549891919389218,0.9408038659048398,0.9629853090501158,0.9483815838172207
2017-03-30,0.9406727874016578,0.9557883207356656,0.9424437216753174,0.9630531820751997,0.9463592019279441
2017-03-31,0.9406613080166718,0.9549664245204885,0.941447466449292,0.9645210527298335,0.9473743237829051
2017-04-05,0.9396209738683553,0.9522263652244566,0.938053704147407,0.9637019521660081,0.9494216526005339
2017-04-06,0.9398748905680471,0.9520775546586208,0.9374618896429621,0.9641101173412258,0.9499867993791952
2017-04-07,0.9401457063293591,0.9514794089040796,0.9360515627235937,0.9648702200991706,0.9510992346554566
2017-04-10,0.939758720404338,0.9510907699077668,0.9355955534955742,0.9645819764389457,0.9516191150814717
2017-04-11,0.9414374861983077,0.9523091502033185,0.9366110952657319,0.96434993002204,0.950747754419145
2017-04-12,0.9412052466385166,0.9521386334269466,0.9367259768575741,0.9647589098947779,0.9506947411104498
2017-04-13,0.9417387743647552,0.9523576911928766,0.9365634421890836,0.964247518557363,0.9505425376094588
2017-04-14,0.9407429336198181,0.9522686008662163,0.9376609367440897,0.9637151919467078,0.9489571677201762
2017-04-17,0.9387308754575187,0.9504554202880178,0.9359764927763623,0.9634801143849381,0.9487415487515799
2017-04-18,0.9387314720004157,0.950977194978214,0.9363482928806324,0.9627310708103162,0.9485774442549123
2017-04-19,0.9388950269804434,0.9517249901284055,0.9374989623111044,0.9629977353179976,0.9482590359592684
2017-04-20,0.938193230634057,0.9505081896578141,0.9357011232358856,0.9634580126161275,0.9486850798041085
2017-04-21,0.9373849259947368,0.949273402527179,0.9343176622233352,0.9647109788456902,0.9489024639519813
2017-04-24,0.9361340894718896,0.9497108241474591,0.9362917750217743,0.9640426270785756,0.9472200638357454
2017-04-25,0.9373871335871033,0.950403147237458,0.9364495146556489,0.965832469727412,0.9484418506547792
2017-04-26,0.9379524615657866,0.9509930515198006,0.9373226958277987,0.9656738781860792,0.9477081509206128
2017-04-27,0.937762151331862,0.9509434425363054,0.9374840619100722,0.9654509873706776,0.9475220913230318
2017-04-28,0.9378327389438353,0.9515526493155003,0.9387746076152418,0.964595767398255,0.9463197645408716
2017-05-02,0.9374855869000432,0.9517974145790998,0.9392162522068898,0.9624437257585083,0.9454954157537026
2017-05-03,0.9373551606433964,0.9521569546921947,0.9396188002968594,0.9614548300497625,0.9440790142876717
2017-05-04,0.9368032583400673,0.9500593014013903,0.9358067562841216,0.9615904892827035,0.9466194216471023
2017-05-05,0.9354980408989755,0.9498504367298973,0.9358224690143027,0.9622244700399316,0.946491767205566
2017-05-08,0.9329329266348065,0.9489154521298658,0.9348068841625546,0.9615172624998687,0.9472999300855881
2017-05-09,0.9336488683367833,0.9494084010554609,0.9351736885452678,0.9610350781219337,0.946806525591107
2017-05-10,0.9303767027532002,0.9467183923987464,0.9317927713089882,0.9633109921531539,0.9495440976985035
2017-05-11,0.9312851112875431,0.9474699826227672,0.9320330235617607,0.9627301060673596,0.9495714476589333
2017-05-12,0.9309846374795334,0.9459823080166389,0.9299691921772663,0.9647625092165443,0.9504625447667295
2017-05-15,0.9320610514349098,0.9472674203032282,0.9316546499829905,0.9638982803064867,0.9490846169332326
2017-05-16,0.9343624015587962,0.9475884172784919,0.9314271694972591,0.9640445736607048,0.9487549585456141
2017-05-17,0.9341667917576529,0.9476147714906284,0.9314935254706075,0.9637455798582953,0.9488224420242138
2017-05-18,0.9337004526479401,0.9483016568297523,0.9327648313810808,0.9637279123210046,0.9477375500644647
