,factor_0,factor_1,factor_2,factor_3,factor_4
2012-07-10,0.9330322017733488,0.890200212259442,0.8411650957833182,0.944153795363169,0.8034436910827659
2012-07-11,0.9338464295358648,0.8920079829774551,0.839147085938041,0.9403745032167331,0.8014815918883906
2012-07-12,0.9337048952430015,0.8934997508808878,0.8373837747137303,0.9381021746685371,0.8005663217191396
2012-07-13,0.93477879469552,0.8953366106484865,0.8351312030717947,0.9355247508429022,0.7993333983275852
2012-07-16,0.9356433366345244,0.8985168189785688,0.8323028162143572,0.9312421099514497,0.79784459924091
2012-07-17,0.9363948043358507,0.9012707338964796,0.8296481576822812,0.9270439219870162,0.796752561830557
2012-07-18,0.9364313253437045,0.9037521697971173,0.8275064843907428,0.9231379805717741,0.796387316276824
2012-07-19,0.936560110136762,0.9062540871896686,0.8251013287961958,0.9191738929752804,0.795917643739556
2012-07-20,0.9362556101907292,0.9085498480253477,0.8228046221036351,0.9155638293371284,0.7950866593485166
2012-07-23,0.934317471606689,0.9103907857133573,0.8211856045706901,0.9129360254693251,0.7948219858163328
2012-07-24,0.933097176842603,0.9118226222685261,0.8196485616421691,0.9118018644048557,0.7943900260979448
2012-07-25,0.9316965614597462,0.9126729042954866,0.8188746086406956,0.9114090552164893,0.7939520594593914
2012-07-26,0.9306903666353324,0.9138335832245728,0.8179134444594175,0.911455775973249,0.7931936907132874
2012-07-27,0.9303403462077391,0.9152466507649336,0.8169072858044927,0.9114144335647615,0.7920576980643175
2012-07-30,0.9297203510404352,0.9167011428850147,0.8160756116099813,0.910269065120956,0.7915917284378268
2012-07-31,0.9287231650779455,0.9187617850413122,0.8154758103367953,0.9091915423045354,0.7914154176402216
2012-08-01,0.9273897424212516,0.9205126533762179,0.8152310282898115,0.9080922729354491,0.7914682013412117
2012-08-02,0.9253144440445825,0.9223258011195999,0.8155870586908741,0.9076000475010751,0.7921669563228252
2012-08-03,0.9230743319557574,0.923634230390123,0.8164250190194139,0.9071425441905391,0.7928040555138771
2012-08-06,0.9212295391952018,0.9240158988912472,0.8177262888379362,0.9068654161457618,0.7932212555193461
2012-08-07,0.9199106158413214,0.9252478181433494,0.8193669999722283,0.9060979431120364,0.7938329138279443
2012-08-08,0.9187312923117743,0.925795940377559,0.8218527989419834,0.9070425455561063,0.7943387730061998
2012-08-09,0.918506501597764,0.9262445674922591,0.8241602736952433,0.9070220504295173,0.7945582855125822
