,growth,interest,inflation,credit
2014-05-28,0.9949888552355828,1.0547487046686757,0.9356367344050085,1.0227000473268641
2014-05-29,0.9951651204555024,1.0571653911932233,0.93677384994951,1.0229410892293476
2014-05-30,0.9953556580398314,1.0591849201010257,0.9376267110619185,1.0231845292801198
2014-05-31,0.9955299899133,1.0591849201010257,0.9384366478929163,1.02342778406851
2014-06-02,0.9957385587789717,1.0591849201010257,0.9390456117583232,1.0236708538059063
2014-06-03,0.9960261980030577,1.0632963801016302,0.9395872966258038,1.0238142181032208
2014-06-04,0.9961644969079607,1.0646242221158448,0.9400425840256621,1.0239048694341886
2014-06-05,0.9964721279611316,1.0631543874669709,0.9402534124069307,1.023978912578267
2014-06-06,0.9966683259070095,1.06223916761387,0.9406994674933477,1.0240537617980907
2014-06-09,0.9969061077332562,1.0617189965760094,0.9414002741816527,1.0241299192489999
2014-06-10,0.9971398169969169,1.062689045268236,0.9418268006610412,1.0241699426953115
2014-06-11,0.9972288125215617,1.062623672421586,0.9420386347026048,1.0241981376003857
2014-06-12,0.9970734617275133,1.062623672421586,0.9423483986812659,1.0242450466190072
2014-06-13,0.9970056712694483,1.06124592210509,0.9428585464253666,1.0243407678245884
2014-06-16,0.9969309965120474,1.0627909706743035,0.9433784547517374,1.0243981249735525
2014-06-17,0.9967682578938849,1.0635410010761916,0.9436826919471811,1.024484054936777
2014-06-18,0.9966457167481579,1.063671746769492,0.943989709403302,1.024575287192067
2014-06-19,0.9963188940623982,1.0637553958958506,0.9441089253260351,1.0246293141697906
2014-06-20,0.9960530609885947,1.0642987637502646,0.9442812275183676,1.0247242311340534
2014-06-23,0.9956573591847914,1.0645525228646804,0.9444250068742726,1.0248487957935994
2014-06-24,0.9952456187570021,1.0653714407823935,0.9442889951622911,1.0249809994150505
2014-06-25,0.9947967024776666,1.0654410312320535,0.9442529058252042,1.0251079408706314
2014-06-26,0.9943246065300917,1.0655310067629267,0.9445246137507308,1.0252946932951847
2014-06-27,0.993857674528298,1.0651626694334144,0.9447037410571928,1.0254687751716343
2014-06-30,0.9933927947658998,1.0644766060105062,0.9450168078466645,1.0257112907900219
2014-07-01,0.9930412197489357,1.062995524420273,0.945281907500094,1.025961077110991
2014-07-02,0.992772326425668,1.0598245898908274,0.9454823723658567,1.0262713484004178
2014-07-03,0.9925013620908391,1.0585438444435542,0.9457577343172426,1.0267116694883185
2014-07-04,0.9923862911798264,1.0568884352622543,0.9460063222037429,1.0271675767156199
2014-07-07,0.9921599854320178,1.0597683551840316,0.9462227233162432,1.027586969168075
2014-07-08,0.9920507032357655,1.060093813549612,0.9463527017840327,1.0279949739343293
2014-07-09,0.9917916688767602,1.0600649932623794,0.9461404918879577,1.0283771155883792
2014-07-10,0.9913231285385806,1.060173245072961,0.9461448614261166,1.0287745225283924
2014-07-11,0.9908871837453634,1.0608030737890735,0.9458861684392902,1.0291851344005327
2014-07-14,0.9906912180822323,1.060610469918298,0.9456623643393821,1.0296225689395282
2014-07-15,0.990545606755701,1.0589445167294738,0.9452987001476318,1.0300510300842798
2014-07-16,0.9903801846670854,1.0548928061048397,0.945252191689712,1.030539115273597
2014-07-17,0.9903676651476859,1.051634707779861,0.9455553117717811,1.0310428872456308
2014-07-18,0.9903154751310134,1.0502119696979284,0.9457214290391419,1.0315387705561008
2014-07-21,0.9903220689370009,1.0508326602741864,0.9459135810240529,1.0320091030164749
2014-07-22,0.9904237193315878,1.0522054900538378,0.9459292031306481,1.0324628924332593
2014-07-23,0.9908214313804244,1.0515728496023855,0.9457036501481063,1.0328688696145891
2014-07-24,0.9913465617130441,1.0514716271301532,0.9454210290547552,1.0332727147855885
2014-07-25,0.9920339597041345,1.052322177070439,0.9450162865952514,1.033706485485293
2014-07-28,0.9928367299164655,1.0533048785716947,0.9446960966294813,1.0341135665330146
2014-07-29,0.9937527275640419,1.0525675009788356,0.9444365849443859,1.0345469873319109
2014-07-30,0.9946063554173669,1.052282812775682,0.944222229477136,1.034952550784745
2014-07-31,0.995367716804573,1.0535038088469848,0.9437532483734599,1.0353456009999378
2014-08-01,0.9958643835977673,1.0539297867509625,0.9433075921539977,1.0356658089297868
2014-08-04,0.9965173504894206,1.055791155545902,0.9430370382904337,1.0359277835897378
2014-08-05,0.997036978133452,1.0552534111621674,0.9427421842156471,1.0362204744459822
2014-08-06,0.9975818267695464,1.0553827509877978,0.9424792119330971,1.0365452254818712
2014-08-07,0.9979084358634307,1.0547128550430933,0.9423012711462375,1.0368548679915923
2014-08-08,0.9983642594785166,1.0542236130939702,0.9421658998195256,1.0371689533947517
2014-08-11,0.9990544785497181,1.0535080264499943,0.9420172745719595,1.0375187132474688
